46,48,46,255
67,69,66,255
254,248,0,255
183,185,182,255

0,0,0,0,0,0,0,255
127,240,229,159,243,239,241,0

0,0,0,0,0,0,0,221
255,249,183,24,51,211,45,34

0,0,0,0,0,0,0,237
11,197,197,174,146,159,111,16

0,0,0,0,0,0,0,213
247,133,255,255,185,248,250,42

0,0,0,0,0,0,0,84
190,235,245,30,238,237,109,43

0,0,0,0,0,0,0,255
243,239,129,87,247,175,47,0

0,0,0,0,0,0,0,247
230,27,200,61,207,255,175,8

0,0,0,0,0,0,0,74
250,243,243,173,242,247,55,181

255,0,0,0,0,0,0,0
0,250,63,188,217,211,91,119

119,0,0,0,0,0,0,0
136,143,170,95,138,255,165,67

214,0,0,0,0,0,0,0
33,182,219,183,231,46,108,247

254,0,0,0,0,0,0,0
1,137,37,155,245,127,215,190

191,0,0,0,0,0,0,0
64,125,243,155,247,222,223,223

223,0,0,0,0,0,0,0
0,252,174,237,95,239,219,247

159,0,0,0,0,0,0,0
96,223,68,171,250,253,255,127

255,0,0,0,0,0,0,0
0,207,197,253,180,109,228,255

0,0,0,0,0,0,0,246
108,155,203,255,191,219,85,9

0,0,0,0,0,0,0,141
121,219,238,12,253,235,29,114

0,0,0,0,0,0,0,255
34,242,187,247,215,59,123,0

0,0,0,0,0,0,0,244
229,103,253,255,91,126,36,11

0,0,0,0,0,0,0,58
255,169,94,222,239,254,211,133

0,0,0,0,0,0,0,223
125,194,136,157,95,189,169,32

0,0,0,0,0,0,0,220
126,98,31,123,238,191,63,35

0,0,0,0,0,0,0,224
70,215,247,142,153,251,159,31

250,0,0,0,0,0,0,0
5,219,119,127,212,190,10,0

255,0,0,0,0,0,0,0
0,157,94,119,205,215,100,131

255,0,0,0,0,0,0,0
0,29,231,225,245,207,255,226

251,0,0,0,0,0,0,0
4,217,209,193,254,255,92,123

255,0,0,0,0,0,0,0
0,126,248,82,111,206,255,251

191,0,0,0,0,0,0,0
64,255,231,239,191,127,255,191

251,0,0,0,0,0,0,0
4,255,143,183,85,253,221,239

255,0,0,0,0,0,0,0
0,255,223,182,237,191,230,254

255,0,0,0,0,0,0,0
255,228,56,19,183,255,183,251

255,0,0,0,0,0,0,0
255,27,204,19,255,118,229,250

255,0,0,0,0,0,0,0
255,151,127,31,45,254,191,239

255,0,0,0,0,0,0,0
255,220,222,152,235,239,239,95

255,0,0,0,0,0,0,0
255,242,94,133,247,248,139,239

255,0,0,0,0,0,0,0
255,97,239,219,222,178,154,183

255,0,0,0,0,0,0,0
255,159,47,181,249,179,226,183

255,0,0,0,0,0,0,0
255,109,221,117,238,94,225,95

0,0,0,0,0,0,0,255
250,254,119,148,252,255,253,255

0,0,0,0,0,0,0,255
254,190,52,203,246,251,71,255

0,0,0,0,0,0,0,255
219,255,29,83,27,241,253,255

0,0,0,0,0,0,0,255
213,236,249,255,153,254,243,255

0,0,0,0,0,0,0,255
253,201,90,231,59,191,242,255

0,0,0,0,0,0,0,255
191,181,99,162,255,127,215,255

0,0,0,0,0,0,0,255
216,29,29,237,190,255,253,255

0,0,0,0,0,0,0,255
234,111,223,73,183,255,253,255

255,0,0,0,0,0,0,0
255,142,119,75,253,158,191,179

255,0,0,0,0,0,0,0
255,211,85,31,159,255,235,238

255,0,0,0,0,0,0,0
255,219,189,251,254,249,63,231

255,0,0,0,0,0,0,0
255,254,239,248,239,221,157,127

255,0,0,0,0,0,0,0
255,213,243,90,118,103,141,255

255,0,0,0,0,0,0,0
255,207,231,185,255,164,121,236

255,0,0,0,0,0,0,0
255,254,95,250,215,253,249,253

255,0,0,0,0,0,0,0
255,239,223,78,205,239,212,191

0,0,0,0,0,0,0,255
223,221,54,115,249,247,231,255

0,0,0,0,0,0,0,255
113,223,203,47,191,187,79,255

0,0,0,0,0,0,0,255
255,231,229,211,154,157,255,255

0,0,0,0,0,0,0,255
231,250,96,252,57,191,189,255

0,0,0,0,0,0,0,255
255,179,218,109,251,221,62,255

0,0,0,0,0,0,0,255
122,59,103,213,191,239,249,255

0,0,0,0,0,0,0,255
218,233,209,246,253,247,165,255

0,0,0,0,0,0,0,255
103,31,223,54,205,187,245,255
