25,27,24,0
25,27,24,255
110,255,18,255
255,4,5,255
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,192,240,248,252,126,0,0,0,0,0,0,0,128
240,156,175,183,129,180,132,181,0,96,80,72,126,79,127,78
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,128,128,192,96,96,176,216,0,0,0,0,128,128,64,32
15,115,125,122,123,119,119,103,240,140,130,133,132,136,136,152
133,181,133,181,133,181,133,181,126,78,126,78,126,78,126,78
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,236,140,94,222,223,191,191,16,16,112,160,32,32,64,64
111,111,95,95,60,51,15,31,144,144,160,160,195,204,240,224
133,181,133,181,133,181,133,181,126,78,126,78,126,78,126,78
0,112,248,248,252,62,126,254,248,140,4,6,6,206,142,14
3,252,0,255,252,240,56,252,252,3,255,0,3,15,199,3
0,255,0,255,255,255,0,255,255,0,255,0,0,0,255,0
132,181,0,255,255,255,0,255,127,78,255,0,0,0,255,0
254,14,30,30,190,254,252,252,14,254,238,238,78,14,6,2
127,67,227,35,247,255,255,0,128,188,28,220,8,0,0,255
0,0,255,0,255,255,255,0,255,255,0,255,0,0,0,255
0,0,255,0,255,255,255,0,255,255,0,255,0,0,0,255
12,192,28,252,252,252,252,254,242,60,224,0,0,0,0,0
254,255,255,240,15,255,255,127,1,0,0,15,240,0,0,128
239,239,239,239,111,184,214,207,16,16,16,16,144,71,41,48
59,219,237,246,251,251,253,254,196,36,18,9,4,4,2,1
254,254,254,254,254,254,254,254,0,0,0,0,0,0,248,252
191,223,239,247,251,253,255,255,64,32,16,8,4,2,0,1
95,191,127,127,191,223,239,247,160,64,128,128,64,32,16,8
255,255,0,255,255,255,255,255,0,0,255,0,0,0,192,192
254,135,131,129,8,16,36,206,254,255,255,255,255,255,255,255
255,255,255,255,0,0,0,255,1,1,255,255,255,255,255,255
251,252,255,255,0,0,0,255,4,3,255,255,255,255,255,255
255,255,255,255,0,0,0,255,192,192,255,255,255,255,255,255
206,36,16,8,129,131,135,254,255,255,255,255,255,255,255,254
255,0,0,0,255,255,255,255,255,255,255,255,255,255,1,1
255,0,0,0,255,255,252,251,255,255,255,255,255,255,3,4
255,0,0,0,255,255,255,255,255,255,255,255,255,255,192,192
254,254,254,254,254,254,254,254,252,248,0,0,0,0,0,0
255,255,253,251,247,239,223,191,1,0,2,4,8,16,32,64
247,239,223,191,127,127,191,95,8,16,32,64,128,128,64,160
255,255,255,255,255,0,255,255,192,192,0,0,0,255,0,0
254,252,252,252,252,28,192,12,0,0,0,0,0,224,60,242
127,255,255,15,240,255,255,254,128,0,0,240,15,0,0,1
207,214,184,111,239,239,239,239,48,41,71,144,16,16,16,16
254,253,251,251,246,237,219,59,1,2,4,4,9,18,36,196
252,252,254,190,30,30,14,254,2,6,14,78,238,238,254,14
0,255,255,247,35,227,67,127,255,0,0,8,220,28,188,128
0,255,255,255,0,255,0,0,255,0,0,0,255,0,255,255
0,255,255,255,0,255,0,0,255,0,0,0,255,0,255,255
254,126,62,252,248,248,112,0,14,142,206,6,6,4,140,248
252,56,240,252,255,0,252,3,3,199,15,3,0,255,3,252
255,0,255,255,255,0,255,0,0,255,0,0,0,255,0,255
255,0,255,255,255,0,181,132,0,255,0,0,0,255,78,127
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,191,223,222,94,140,236,232,64,64,32,32,160,112,16,16
31,15,51,60,95,95,111,111,224,240,204,195,160,160,144,144
181,133,181,133,181,133,181,133,78,126,78,126,78,126,78,126
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,176,96,96,192,128,128,0,32,64,128,128,0,0,0,0
103,119,119,123,122,125,115,15,152,136,136,132,133,130,140,240
181,133,181,133,181,133,181,133,78,126,78,126,78,126,78,126
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,252,248,240,192,0,0,0,128,0,0,0,0,0,0,0
181,132,180,129,183,175,156,240,78,127,79,126,72,80,96,0
